record_id,flood_indicator,country_code,week,temperature_celsius,pm25_ugm3,region,gdp_per_capita_usd,month,precipitation_mm,mental_health_index,year,longitude,food_security_index,latitude,healthcare_access_index,drought_indicator,income_level,extreme_weather_events,heat_wave_days,date,country_name,population_millions,air_quality_index,temp_anomaly_celsius,health_risk_class
1,0.0,IND,39.0,6.8,93.3,South Asia,2700.0,9.0,49.5,,2019.0,78.96,,20.59,50.7,0.0,Lower Middle,0.0,0.0,2019/09/29,India,,138.0,0.52,1
2,0.0,EGY,11.0	,63.032,,Africa,4174.0,3.0,153.7,70.6,2020.0,30.8,,26.82,41.1,0.0,Lower-Middle,0.0,0.0,15/03/2020,Egypt,102.0,175.0,-0.31,2
3,0.0,IND	,40.0,3.51,111.6,South Asia,2606.0,10.0,51.1,67.1,2017.0,78.96,,20.59,48.9,0.0,LOWER-MIDDLE,0.0,0.0,08/10/2017,  India,1380.0,176.0,-0.97,1
4,0.0,CHN,33.0,,81.1,East Asia,,8.0,18.2,69.5,  2016.0  ,104.19,100.0,35.86,69.1,0.0,Upper-Middle,0.0,0.0,21.08.2016,China,1411.0,123.0,0.76,1
5,,IND,1.0,,114.2,South Asia,2963.0,1.0,134.5,73.6,2025.0,78.96,96.1,20.59,46.3,0.0,Lower-Middle,0.0,0.0,05/01/2025,India,1380.0,159.0,0.12,1
6,0.0,COL,52.0,21.26,83.7,South America,9273.0,12.0,32.2,67.1,2018.0,-74.29,,4.57,,0.0,Upper-Middle,0.0,0.0,2018/12/30,Colombia,51.0,134.0,0.16,2
7,0.0,VNM	,15.0,,95.9,Southeast Asia,3519.0,4.0,130.1,72.2,,,83.5,14.05,45.6,0.0,Lower-Middle,0.0,0.0,2017/04/16,Vietnam,,130.0,0.33,3
8,0.0,USA,10.0,11.18,86.0,North America,68921.0,3.0,88.6,65.8,2019.0,-95.71,90.3,37.09,,0.0,High,0.0,0.0,10-Mar-2019,United States,331.0,125.0,0.85,2
9,,FRA,5.0,1.65,16.3,Europe	,72057.0,2.0,131.4,,2025.0,2.21,,46.22,83.4,0.0,High,0.0,0.0,2025-02-02,France,65.0,,0.5,0
10,FALSE,PHL,48.0,12.56,136.1,Southeast Asia,3212.0,11.0,9.8,60.7,2020.0,121.77,79.5,12.87,40.6,0.0,Lower-Middle,0.0,0.0,737758,Philippines,110.0,221.0,0.23,1
11,0.0,USA,13.0,11.27,44.2,North America,67756.0,4.0,-60.2559322117588,71.3,,,,37.09,91.8,N,High,0.0,0.0,20180401,USA,331.0,,0.97,1
12,0.0,FRA,,-9.25  ,72.0,EUROPE,71758.0,11.0,78.1,,2024.0,2.21,,46.22,,0.0,High,0.0,0.0,24/11/2024,France,,120.0,0.41,1
13,0.0,ZAF,10.0,,61.5,Africa,9925.0,3.0,None,,2022.0,22.93,,-30.55,68.7,0.0,,0.0,0.0,13.03.2022,RSA,60.0,88.0,0.22,1
14,0.0,BRA,37.0,9.36,58.9,South America,14824.0,9.0,72.7,,2020.0,,97.2,-14.23,65.7,0.0,Upper-Middle,0.0,0.0,13/09/2020,Brazil,213.0,96.0,-0.15,2
15,0.0,FRANCE,,,48.1	,  Europe  ,68964.0,7.0,96.8,,2022.0,2.21,100.0,46.22,87.0,0.0,H,0.0,0.0,20220717,France,65.0,32.0,-0.31,0
16,0.0,ARG,60,4.45,17.3,South America,15631.0,2.0,123.0,65.5,2025.0,-63.61,98.8,-38.41,,0.0,UPPER-MIDDLE,0.0,0.0,09-Feb-2025,Argentina,45.0,36.0,0.2,1
17,,FRA,9.0,5.34,46.1,Europe,67367.0,3.0,104.6,75.2,2021.0,2.21,98.2,46.22,88.0,0.0,High,0.0,0.0,2021/03/07,France,,,0.07,2
18,0.0,COL,46.0,14.54,54.9,SOUTH AMERICA,9087.0,11.0,,70.6,  2017.0,-74.29,,4.57,67.2,0.0,Upper-Middle,0.0,0.0,"November 19, 2017",Colombia,51.0,95.0,,1
19,0.0,FRA,4.0,-1.53,45.2,Europe,67167.0,1.0,43.5,,2021.0,2.21,100.0,46.22,84.5,0.0,High,0.0,0.0,31/01/2021,France,65.0,74.0,,1
20,0.0,  COL  ,37.0,11.81,40.4,,8715.0,9.0,1.6,69.4,  2015.0  ,-74.29,,4.57,,0.0,Upper-Middle,0.0,0.0,2015-09-13,Colombia,51.0,58.0,0.41,1
21,0.0,CHN,45.0,-4.46,32.3,East Asia,12013.0,11.0,36.8,78.4,2016.0,104.19,99.2,35.86,76.0,0.0,UM,0.0,0.0,"November 13, 2016",china,1411.0,39.0,0.47,0
22,0.0,EGY,4.0,80.25408522519604,67.4,Africa,3935.0,1.0,,,2017.0,30.8,,26.82,,0.0,Lower-Middle,0.0,0.0,29-Jan-2017,Egypt,102.0,78.0,0.04,1
23,0.0,VNM,49.0,14.54,97.4,Southeast Asia,3833.0,12.0,86.1,82.3,2021.0,108.27,,14.05,44.4,0.0,Lower-Middle,0.0,0.0,12/12/2021,Vietnam,98.0,129.0,0.38,0
24,0.0,BGD,20.0,,103.7,South Asia,1700.0,,108.6,70.3,2019.0,90.35,81.2,23.68,,0.0,Lower-Middle,0.0,0.0,"May 19, 2019",Bangladesh,165.0,164.0,1.23,2
25,0.0,VNM,33.0,8.45,86.8,Southeast Asia,4080.0,13,101.6,70.0,2025.0,108.27,,14.05,,,Lower-Middle,0.0,0.0,17/08/2025,Vietnam,98.0,137.0,0.47,2
26,0.0,VNM,52.0,,120.8,Southeast Asia,3839.0,1.0,104.2,67.5,2022.0,108.27,,14.05,,0.0,Lower-Middle,0.0,0.0,02.01.2022,Vietnam,98.0,193.0,0.53,2
27,0.0,AUS,40.0,3.67,66.3,Oceania,46442.0,10.0,24.2,76.0,2018.0,133.77,95.4,-25.27,81.7,,High,0.0,0.0,07-Oct-2018,AUSTRALIA,26.0,84.0,0.17,1
28,0.0,ESP,32.0,-5.48,43.3,EUROPE,58462.0,8.0,55.1,62.0,2020.0,-3.74,95.2,40.46,,0.0,High,0.0,0.0,737646,Spain,47.0,58.0,0.13,0
29,0.0,FRA,,,46.9,Europe,60780.0,9.0,  26.9  ,70.6,2015.0,2.21,91.0,46.22,79.8,0.0,High,0.0,0.0,2015/09/20,France,,68.0,0.6,1
30,0.0,THA,14.0,21.88,32.1,ASEAN,15888.0,4.0,124.9,65.5,,100.99,96.2,15.87,60.0,No,Upper-Middle,0.0,0.0,04-07-2019,Thailand,70.0,43.0,,2
31,0.0,JPN,28.0,1.71,95.7,Far East,,7.0,67.0,64.9,2015.0,138.25,100.0,36.2,86.4,0.0,HIGH,0.0,0.0,2015/07/12,Japan,126.0,143.0,0.0,0
32,0.0,INDIA,,9.43,115.5,South Asia,2861.0,12.0,22.4,70.5,2022.0,78.96,89.5,20.59,50.2,False,Lower-Middle,0.0,0.0,00/00/0000,India,1380.0,186.0,0.53,3
33,0.0,CAN,,,10.6,North America,,3.0,99.8,,2050,-106.34,,,87.5,0.0,High,0.0,0.0,"March 03, 2024",canada,38.0,34.0,0.61,1
34,0.0,DEU,2.0,,65.3,Europe,66028.0,1.0,error  ,66.2,2016.0,,100.0,339.9738875649907,,0.0,High,0.0,0.0,17-Jan-2016,Germany,83.0,133.0,-0.27,2
35,0.0,THA,11.0,23.39,45.3,Southeast Asia,17034.0,3.0,154.7,72.5,2023.0,,89.7,15.87,,0.0,Upper-Middle,3.0,3.0,19/03/2023,Thailand,70.0,-72.84775837897709,1.04,3
36,0.0,FRA,4.0,-0.8,  69.0,Europe,59981.0,1.0,101.5,77.4,2015.0,2.21,100.0,46.22,,0.0,High,0.0,0.0,01-25-2015,République française,65.0,108.0,0.29,2
37,0.0,EGY,22.0,,110.1,Africa,4042.0,6.0,95.0,66.8,2018.0,,85.4,26.82,41.7,0.0,Lower-Middle,1.0,1.0,20180603,Egypt,102.0,182.0,-0.16,3
38,0.0,ESP,38.0,-6.9,57.5,Europe,59599.0,,33.1,63.7,,-3.74,100.0,40.46,76.5,,High  ,0.0,,"September 26, 2021",Spain,47.0,110.0,-0.68,0
39,0.0,ITA,37.0,,63.7,Europe,43582.0,9.0,14.5,71.0,2017.0,12.56,100.0,41.87,,0.0,High,0.0,0.0,09-17-2017,Italy,60.0,112.0,-0.44,0
40,0.0,USA,14.0,8.59,11.4,North America,71567.0,4.0,147.8,74.8,2021.0,-95.71,95.7,37.09,82.3,0.0,HIGH,0.0,0.0,737891,United States of America,331.0,11.0,0.75,1
41,no,bra,48.0,11.58,53.7,S. America,14093.0,12.0,,,2017.0,-51.92,95.8,-14.23,64.7,0.0,Upper-Middle,0.0,0.0,  03.12.2017,Brazil,213.0,83.0,0.26,1
42,0.0,FRA,42.0,-8.8,79.5,EU,62077.0,10.0,0.0,72.8,2016.0,2.21,,46.22,83.5,1.0,High,1.0,0.0,23-Oct-2016,France,65.0,137.0,-0.41,1
43,0.0,FRA,49.0,-5.61,103.6,Europe,68265.0,12.0,59.4,72.1,,2.21,100.0,46.22,,0.0,  High,0.0,0.0,20211212,French Republic,,156.0,0.14,1
44,0.0,ITA,33.0,  -5.85  ,61.8,Europe,45165.0,8.0,16.5,68.3,2019.0,,100.0,41.87,,0.0,Developed,0.0,,"August 18, 2019",Italy,60.0,80.0,0.34,1
45,0.0,BGD,44.0,1.19,96.7,South Asia,1872.0,,58.8,69.8,2024.0,90.35,,23.68,36.0,0.0,Lower-Middle,,0.0,2024/11/03,Bangladesh,,179.0,0.83,3
46,0.0,CHN,15.0,54.05,0.0,East Asia,12572.0,4.0,72.9,,2019.0,104.19,,35.86,74.2,0.0,Upper-Middle,0.0,0.0,2019-04-14,People's Republic of China,,0.0,,1
47,0.0,PHL,1.0,19.34,98.3,SEA,2935.0,1.0,119.1,66.9,2016.0,121.77,89.5,,,0.0,Lower-Middle,0.0,0.0,"January 10, 2016",Philippines,110.0,146.0,0.57,2
48,0.0,ESP,47.0,-2.11,30.6,Europe,55574.0,11.0,62.8,65.6,2017.0,-3.74,91.5,40.46,,0.0,High,0.0,0.0,2017-11-26,Spain,,57.0,-0.21,0
49,0.0,VNM,10.0,,114.4,Southeast Asia,3850.0,3.0,143.9,79.7,2022.0,108.27,94.4,14.05,40.6,0.0,Lower-Middle,0.0,0.0,2022/03/13,Vietnam,98.0,191.0,,3
50,,AUS,1.0,7.74,18.6,Pacific,47521.0,1.0,100.1,,2020.0,133.77,,-25.27,74.8,0.0,High,0.0,0.0,05.01.2020,Australia,26.0,46.0,0.07,0
51,0.0,BGD,29.0,5.24,85.0,South Asia,1674.0,7.0,84.6,,2018.0,90.35,,23.68,,0.0,Lower-Middle,0.0,0.0,22-Jul-2018,Bangladesh,165.0,149.0,-0.25,2
52,0.0,PAK,W1,9.18,82.2,S. Asia,4154.0,1.0,110.6,,2020.0,69.34,92.7,30.37,,0.0,Lower-Middle,0.0,,05/01/2020,Pakistan,225.0,125.0,-0.66,2
53,0,GBR,45.0,-12.12	,49.1,Europe,69053.0,11.0,42.3,67.5,2024.0,-3.43,100.0,55.37,96.1,0.0,High,0.0,0.0,"  November 10, 2024  ",Britain,67.0,52.0,-0.73,0
54,0.0,CAN,27.0,-7.47,40.7,North America,42088.0,7.0,100.6,75.8,2020.0,-106.34,100.0,,89.3,0.0,High,0.0,0.0,2020/07/05,Canada,38.0,45.0,0.84,1
55,0.0,FRA,W25,0.49,79.4,Europe,68864.0,6.0,40.2,69.7,2022.0,2.21,,46.22,88.8,0.0,High,0.0,0.0,"June 26, 2022",France,,128.0,-0.5,1
56,0.0,ARG,4.0,44.384,34.4,South America,13271.0,1.0,112.9,,20l8,-63.61,,-38.41,59.9,0.0,Upper-Middle,0.0,0.0,735994,Argentina,,,0.46,1
57,0.0,  MEX  ,24.0,12.53,59.7,North America,17382.0,6.0,106.2,,,,90.5,23.63,65.1,0.0,Upper-Middle,0.0,0.0,16.06.2024,Mexico,129.0,59.0,-0.02,1
58,0.0,COL,46.0,19.18,5.3,South America,9946.0,11.0,42.9,66.6,2022.0,-74.29,,4.57,72.5,0.0,Upper-Middle,0.0,0.0,738479,Colombia,,1.0,0.96,0
59,0.0,JPN,,52.502,112.1,east asia,65573.0,3.0,138.9,70.3,,138.25,100.0,36.2,90.3,0.0,High,2.0,2.0,03-20-2016,Japan,126.0,216.0,0.2,3
60,0.0,PHL,37.0,13.56,124.0,Southeast Asia,3490.0,9.0,36.5,62.6,2025.0,,,12.87,37.7,0.0,LOWER-MIDDLE,0.0,0.0,14-Sep-2025,Philippines,110.0,174.0,0.17,2
61,0.0,IND,41.0,5.0,182.1,South Asia,2852.0,10.0,32.2,68.9,2022.0,,,20.59,,0.0,Lower-Middle,0.0,0.0,10-16-2022,India,1380.0,280.0,0.62,2
62,0.0,PAK,35.0,-2.59,150.6,South Asia,3978.0,9.0,45.7,66.5,2017.0,69.34,94.3,30.37,52.7,N,Lower-Middle,0.0,0.0,"September 03, 2017",Pakistan,225.0,246.0,0.02,1
63,0.0,KEN,17.0,30.83,64.7,Africa,2558.0,4.0,,65.2,2025.0,37.9,,-0.02,,0.0,lower-middle,2.0,2.0,20250427,Kenya,54.0,113.0,1.2,3
